Firm	Acceptable_silence_period	Last_update_date
Adelberg, Rudow, Dorf & Hendler, LLC	10	2016-07-07
Adler Pollock & Sheehan PC	10	2016-07-07
Akerman LLP	4	2016-07-11
Akin, Gump, Strauss, Hauer & Feld, LLP	4	2016-07-11
Allen & Overy LLP	5	2016-07-11
Allen Matkins	5	2016-07-11
Allen, Dyer, Doppelt, Milbrath	10	2016-07-07
Alston & Bird LLP	5	2016-07-11
Amster Rothstein & Ebenstein LLP	10	2016-07-07
Archer & Greiner	10	2016-07-07
Archer Norris	10	2016-07-07
Arent Fox LLP	5	2016-07-08
Armstrong Teasdale	10	2016-07-08
Arnall Golden Gregory LLP	10	2016-07-07
Arnold & Porter LLP	4	2016-07-11
Arnstein & Lehr LLP	10	2016-07-07
Arthur, Chapman, Kettering, Smetak & Pikala, P.A.	10	2016-07-07
Ashurst	10	2016-07-11
Atkinson, Andelson, Loya, Ruud & Romo	10	2016-07-07
Baker & Hostetler LLP	4	2016-07-11
Baker & McKenzie	4	2016-07-11
Baker Botts LLP	4	2016-07-11
Baker Donelson	4	2016-07-11
Balch & Bingham LLP	7	2016-07-07
Ballard Spahr LLP	10	2016-07-08
Banner & Witcoff LTD	10	2016-07-07
Barclay Damon	10	2016-07-11
Barley Snyder	10	2016-07-07
Barnes & Thornburg LLP	10	2016-07-07
Bass Berry & Sims	10	2016-07-07
Becker & Poliakoff	10	2016-07-07
Benesch Friedlander Coplan & Aronoff LLP	10	2016-07-07
Berenbaum Weinshienk PC	10	2016-07-07
Berg Hill Greenleaf & Ruscitti LLP	10	2016-07-07
Berliner Cohen	10	2016-07-07
Bernkopf Goodman LLP	10	2016-07-07
Best Best & Krieger LLP	10	2016-07-07
Beveridge & Diamond P.C.	10	2016-07-07
Beyer Law Group LLP	10	2016-07-07
Bilzin Sumberg	10	2016-07-07
Blank Rome LLP	4	2016-07-12
Blitman & King LLP	10	2016-07-07
Bond Schoeneck & King PLLC	10	2016-07-07
Bonne Bridges Mueller OKeefe & Nichols	10	2016-07-07
Bonner Kiernan Trebach & Crociata LLP	10	2016-07-07
Borton Petrini LLP	10	2016-07-08
Boutin Jones Inc	10	2016-07-07
Brach Eichler LLC	10	2016-07-07
Bradley Arant Boult Cummings LLP	10	2016-07-07
Bressler, Amery & Ross	10	2016-07-11
Brinks Hofer Gilson & Lione	10	2016-07-07
Broad and Cassel	10	2016-07-07
Brownstein Hyatt Farber Schreck	10	2016-07-11
Bryan Cave LLP	4	2016-07-12
Buchanan Ingersoll & Rooney PC	6	2016-07-08
Buckley King	10	2016-07-07
Buckley Sandler LLP	6	2016-07-07
Budd Larner	10	2016-07-07
Bulkley Richardson & Gelinas LLP	10	2016-07-07
Bullivant Houser Bailey	10	2016-07-07
Burg Simpson Eldredge Hersh & Jardine, P.C.	10	2016-07-07
Burke Warren MacKay & Serritella	10	2016-07-07
Burns & Levinson LLP	10	2016-07-07
Burns White LLC	10	2016-07-07
CMS Cameron McKenna LLP	10	2016-07-07
Cadwalader, Wickersham & Taft LLP	4	2016-07-11
Cairncross & Hempelmann	6	2016-07-07
Cantor Colburn LLP	10	2016-07-07
Caplan and Earnest LLC	10	2016-07-07
Caplin & Drysdale	10	2016-07-07
Carlock Copeland & Stair LLP	10	2016-07-07
Carlton Fields Jorden Burt	10	2016-07-07
Carney Badley Spellman	10	2016-07-07
Carr & Ferrell LLP	10	2016-07-07
Carruthers & Roth, P.A.	10	2016-07-07
Chadbourne & Parke LLP	4	2016-07-11
Chamberlain Hrdlicka	10	2016-07-07
Chapman and Cutler LLP	10	2016-07-07
Chiesa, Shahinian & Giantomasi PC	10	2016-07-07
Choate Hall & Stewart LLP	4	2016-07-11
Cipriani & Werner	10	2016-07-07
Clark & Elbing LLP	10	2016-07-07
Clark Hill PLC	10	2016-07-07
Clausen Miller, P.C.	10	2016-07-07
Cleary, Gottlieb, Steen & Hamilton	4	2016-07-11
Clifford Chance	4	2016-07-11
Clyde & Co	10	2016-07-11
Coblentz, Patch, Duffy & Bass	10	2016-07-07
Cohen Milstein Sellers & Toll PLLC	4	2016-07-11
Cohen Seglias Pallas Greenhall & Furman PC	10	2016-07-07
Cole Schotz	10	2016-07-07
Cole Scott & Kissane	10	2016-07-07
Collora LLP	10	2016-07-07
Conley Rose	10	2016-07-07
Connell Foley	10	2016-07-07
Conroy Simberg	10	2016-07-07
Cooley LLP	4	2016-07-11
Coolidge Wall Co., L.P.A.	10	2016-07-07
Coughlin Duffy LLP	10	2016-07-07
Cowan Liebowitz & Latman PC	10	2016-07-07
Cox Castle & Nicholson, LLP	10	2016-07-07
Cozen O Connor	10	2016-07-07
Culp Elliott & Carpenter, P.L.L.C.	10	2016-07-07
Cummings & Lockwood	10	2016-07-07
Curtis, Mallet-Prevost, Colt & Mosle LLP	4	2016-07-11
DLA Piper Australia	7	2016-07-11
DLA Piper Canada	7	2016-07-07
DLA Piper UK	7	2016-07-11
DLA Piper US	4	2016-07-11
Davis Graham & Stubbs	10	2016-07-07
Davis Malm & D Agostine PC	10	2016-07-07
Davis Polk & Wardwell	7	2016-07-07
Davis Wright Tremaine LLP	4	2016-07-11
Day Pitney LLP	6	2016-07-07
DeWitt Ross & Stevens	10	2016-07-07
Dechert LLP	4	2016-07-11
Dentons	4	2016-07-11
Dicke, Billig & Czaja, PLLC	10	2016-07-07
Dilworth Paxson LLP	10	2016-07-07
Dinse, Knapp & McAndrew	10	2016-07-11
Dinsmore & Shohl LLP	10	2016-07-07
Donovan Hatem LLP	10	2016-07-07
Dorsey & Whitney LLP	4	2016-07-11
Downey Brand	10	2016-07-11
Drinker Biddle	4	2016-07-11
Duane Morris LLP	4	2016-07-11
Duckor Spradling Metzger & Wynne	10	2016-07-07
Duggins Wren Mann & Romero, LLP	10	2016-07-07
Dykema Gossett PLLC	10	2016-07-07
Eastman & Smith Ltd.	10	2016-07-07
Eckert Seamans	10	2016-07-07
Edelson PC	10	2016-07-07
Emmanuel Sheppard & Condon	10	2016-07-07
Epstein Becker & Green	4	2016-07-11
Fabiani Cohen & Hall, LLP	10	2016-07-07
Faegre Baker Daniels	4	2016-07-11
Fafinski Mark & Johnson, P.A.	10	2016-07-07
Farella Braun & Martel	4	2016-07-11
Fay Sharpe LLP	10	2016-07-07
Fennemore Craig PC	10	2016-07-07
Fenwick & West	4	2016-07-11
Field Fisher Waterhouse LLP	10	2016-07-08
Finch Thornton & Baird LLP	10	2016-07-08
Finn Dixon & Herling LLP	10	2016-07-07
Finnegan Henderson Farabow Garrett & Dunner LLP	4	2016-07-11
Fish & Richardson P. C.	4	2016-07-11
Fisher & Phillips LLP	10	2016-07-07
Fitch Even Tabin & Flannery	10	2016-07-07
Fitzgerald Abbott & Beardsley LLP	10	2016-07-07
Fitzpatrick, Cella, Harper & Scinto	10	2016-07-07
Flaster Greenberg	10	2016-07-07
Fletcher Tilton PC	10	2016-07-07
Foley & Lardner LLP	4	2016-07-11
Foley Hoag LLP	4	2016-07-11
Foley and Mansfield	4	2016-07-11
Ford & Harrison LLP	10	2016-07-07
Foster Pepper PLLC	4	2016-07-11
Fox Galvin, LLC	10	2016-07-07
Fox Rothschild	4	2016-07-11
Fragomen	4	2016-07-11
Fredrikson & Byron PA	10	2016-07-07
Freeborn & Peters LLP	10	2016-07-07
Freeman Mathis & Gary LLP	10	2016-07-07
Freshfields Bruckhaus Deringer	4	2016-07-11
Freund Freeze & Arnold LPA	10	2016-07-07
Frommer Lawrence & Haug	10	2016-07-07
Frost Brown Todd	10	2016-07-07
Gallagher & Kennedy, P.A.	10	2016-07-07
Gesmer Updegrove LLP	10	2016-07-07
Gibbons P.C.	10	2016-07-07
Gibney Anthony & Flaherty	10	2016-07-07
Gibson, Dunn & Crutcher LLP	4	2016-07-11
Giordano, Halleran & Ciesla	10	2016-07-07
Gislason & Hunter LLP	10	2016-07-07
Goldberg Segalla LLP	10	2016-07-11
Goodwin Procter LLP	4	2016-07-11
Gordon & Rees, LLP	4	2016-07-11
Gordon Feinblatt	10	2016-07-07
Goulston & Storrs	10	2016-07-07
Graves, Dougherty, Hearon & Moody	10	2016-07-07
Gray Plant Mooty	10	2016-07-07
Gray Reed McGraw	10	2016-07-07
Greenbaum Rowe Smith & Davis LLP	10	2016-07-07
Greenberg Traurig LLP	4	2016-07-11
Gresham Savage Nolan & Tilden	10	2016-07-07
Groom Law Group	10	2016-07-07
Gunderson Dettmer Stough Villeneuve Franklin & Hachigian LLP	4	2016-07-11
Gunster Yoakley	10	2016-07-07
Hackett Feinberg PC	10	2016-07-07
Hagan Barrett & Langley PLLC	10	2016-07-07
Hagens Berman LLP	10	2016-07-07
Haight, Brown & Bonesteel	10	2016-07-07
Hailey McNamara Hall Larmann & Papale LLP	10	2016-07-07
Hall & Evans	10	2016-07-07
Hall Booth Smith & Slover PC	10	2016-07-08
Hamre, Schumann, Mueller & Larson, P.C.	10	2016-07-07
Hanson Bridgett LLP	10	2016-07-07
Harness Dickey	10	2016-07-07
Harter Secrest & Emery LLP	6	2016-07-07
Haynes and Boone, LLP	10	2016-07-07
Hedrick Gardner Kincheloe & Garofalo, L.L.P.	10	2016-07-07
Henderson Franklin	10	2016-07-07
HeplerBroom LLC	10	2016-07-07
Herbert Smith LLP	10	2016-07-11
Hinckley Allen & Snyder LLP	6	2016-07-07
Hinshaw & Culbertson LLP	10	2016-07-07
Hodgson Russ LLP	10	2016-07-07
Hogan Lovells	4	2016-07-11
Hoge Fenton Jones & Appel Inc	10	2016-07-07
Holland & Hart	10	2016-07-11
Holland & Knight LLP	5	2016-07-12
Hooper, Lundy & Bookman, Inc.	10	2016-07-07
Hopkins & Carley	10	2016-07-07
Hopping Green	10	2016-07-07
Hunton & Williams LLP	4	2016-07-11
Husch Blackwell LLP	5	2016-07-12
Ice Miller	10	2016-07-11
Jackson & Campbell	5	2016-07-12
Jeffer Mangels Butler & Mitchell LLP	5	2016-07-12
Jenkins, Wilson, Taylor & Hunt, P.A.	10	2016-07-07
Jenner & Block LLP	5	2016-07-08
Jennings, Strouss & Salmon, P.L.C.	10	2016-07-07
Jones Day	4	2016-07-12
Jones, Foster, Johnston	10	2016-07-07
Jones, Skelton & Hochuli, P.L.C.	10	2016-07-07
K & L Gates	4	2016-07-12
Kaplan Kirsch & Rockwell LLP	10	2016-07-07
Katten Muchin Rosenman LLP	4	2016-07-11
Kaufman Dolowich & Voluck LLP	10	2016-07-11
Kaye Scholer LLP	4	2016-07-11
Keating Muething & Klekamp PLL	10	2016-07-07
Keller & Heckman	5	2016-07-12
Kelley Drye & Warren LLP	5	2016-07-12
Kenyon & Kenyon	7	2016-07-07
Kilpatrick Townsend & Stockton LLP	4	2016-07-11
King & Spalding LLP	4	2016-07-11
Kirkland & Ellis LLP	4	2016-07-11
Klehr Harrison	10	2016-07-07
Klinedinst	10	2016-07-07
Knobbe Martens Olson & Bear, LLP	10	2016-07-11
Kobre & Kim	10	2016-07-07
Kramer Levin Naftalis & Frankel LLP	7	2016-07-07
Kreig DeVault	4	2016-07-11
Kronick Moskovitz Tiedemann & Girard	10	2016-07-07
Kubicki Draper	10	2016-07-07
L Abbate Balkan Colavita LLP	10	2016-07-07
Ladas & Parry LLP	10	2016-07-07
Lando & Anastasi LLP	10	2016-07-07
Lane Powell	10	2016-07-08
Larkin Hoffman Daly & Lindgren Ltd.	10	2016-07-07
Latham & Watkins LLP	4	2016-07-11
Lathrop & Gage LLP	10	2016-07-07
